n1,n2,A0n,A0d,A2n,A2d,A4n,A4d,B0n,B0d,B2n,B2d,C0n,C0d,C2n,C2d,D0n,D0d,E0n,E0d,F0n,F0d,F2n,F2d,F4n,F4d,F6n,F6d,G0n,G0d,H0n,H0d,I0n,I0d,I2n,I2d
-2,-2,1,60,1,84,3,1120,1,21,1,42,0,1,0,1,2,49,0,1,1,140,1,168,27,12320,5,14784,1,98,0,1,0,1,0,1
-1,-2,-1,30,5,168,1,280,-5,84,1,24,0,1,0,1,-1,49,0,1,-3,140,1,56,39,12320,1,2464,3,98,0,1,0,1,0,1
-2,-1,-1,30,5,168,1,280,-5,84,1,24,-1,112,-1,224,-1,49,-1,84,-3,140,1,56,39,12320,1,2464,3,98,-1,252,0,1,0,1
0,-2,1,60,-2,21,9,560,-1,42,-17,168,0,1,0,1,-23,392,0,1,3,140,-5,56,123,6160,5,4928,-11,392,0,1,0,1,0,1
-1,-1,1,15,1,21,3,280,2,21,13,84,3,112,0,1,25,196,5,168,3,35,0,1,3,440,3,2464,29,196,-1,504,0,1,1,4
-2,0,1,60,-2,21,9,560,-1,42,-17,168,1,168,-1,96,-23,392,-1,168,3,140,-5,56,123,6160,5,4928,-11,392,-5,168,0,1,0,1
1,-2,0,1,3,56,-3,56,1,28,-1,56,0,1,0,1,3,196,0,1,-1,140,17,168,-621,6160,25,3696,-15,196,0,1,0,1,0,1
-2,1,0,1,3,56,-3,56,1,28,-1,56,5,336,11,672,3,196,1,21,-1,140,17,168,-621,6160,25,3696,-15,196,1,14,0,1,0,1
0,-1,0,1,-3,56,3,56,-1,28,1,56,-3,112,3,112,-3,196,-1,56,-9,140,1,56,261,6160,5,1232,15,196,5,168,1,6,-1,6
-1,0,0,1,-3,56,3,56,-1,28,1,56,-1,56,-3,224,-3,196,-37,504,-9,140,1,56,261,6160,5,1232,15,196,-187,1512,1,6,-1,6
2,-2,0,1,0,1,1,32,0,1,3,56,0,1,0,1,9,392,0,1,0,1,-1,28,291,2464,-25,704,25,392,0,1,0,1,0,1
-2,2,0,1,0,1,1,32,0,1,3,56,-1,84,11,672,9,392,-5,168,0,1,-1,28,291,2464,-25,704,25,392,-19,504,0,1,0,1
1,-1,0,1,0,1,-1,8,0,1,-3,14,1,112,-1,28,-9,98,-1,168,0,1,-1,28,-111,616,5,176,-25,98,-19,504,0,1,1,4
-1,1,0,1,0,1,-1,8,0,1,-3,14,-1,112,-3,112,-9,98,25,504,0,1,-1,28,-111,616,5,176,-25,98,211,1512,0,1,1,4
0,0,0,1,0,1,3,16,0,1,9,28,1,84,31,672,27,196,-1,72,0,1,1,7,153,1232,5,352,75,196,-97,1512,0,1,-1,2
-2,3,0,1,0,1,0,1,0,1,0,1,0,1,-1,56,0,1,0,1,0,1,0,1,-15,352,15,352,0,1,0,1,0,1,0,1
3,-2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-15,352,15,352,0,1,0,1,0,1,0,1
-1,2,0,1,0,1,0,1,0,1,0,1,0,1,9,224,0,1,-1,168,0,1,0,1,45,352,-45,352,0,1,-1,72,0,1,0,1
2,-1,0,1,0,1,0,1,0,1,0,1,0,1,3,224,0,1,1,168,0,1,0,1,45,352,-45,352,0,1,1,72,0,1,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,224,0,1,1,56,0,1,0,1,-15,176,15,176,0,1,1,24,0,1,0,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,-5,224,0,1,-1,56,0,1,0,1,-15,176,15,176,0,1,-1,24,0,1,0,1
1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,5,16,0,1,0,1,0,1,0,1
0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-15,64,0,1,0,1,0,1,0,1
2,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-15,64,0,1,0,1,0,1,0,1
-1,3,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,3,32,0,1,0,1,0,1,0,1
3,-1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,3,32,0,1,0,1,0,1,0,1
-2,4,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-1,64,0,1,0,1,0,1,0,1
4,-2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-1,64,0,1,0,1,0,1,0,1